,SQUAD,SHOOT_SH,SHOOT_DIST,SEASON,PASS_TOTDIST,PASS_PRGDIST,PASS_ATT,PASS_ATT1,PASS_ATT2,PASS_ATT3,PASS_KP,PT_CRS,PT_CK,GSC_PASSLIVE,GSC_PASSLIVE1,GSC_PASSDEAD,GSC_PASSDEAD1,GSC_TO,GSC_TO1,GSC_SH,GSC_SH1,GSC_FLD,GSC_FLD1,GSC_DEF,GSC_DEF1,DA_TKL,DA_TKL1,DA_ATT,DA_BLOCKS,DA_INT,POSS_POSS,MISC_CRDY,MISC_CRDR,MISC_FLS,MISC_RECOV
0,Alavés,286,18.4,2022-2023 Liga,141213,66482,10702,3176,4315,2619,185,443,106,262,34,62,7,14,2,40,4,33,5,14,1,491,198,381,322,330,44.6,59,1,311,1575
1,Alhama,304,20.8,2022-2023 Liga,99966,56452,9076,2552,3199,2796,183,534,91,291,25,53,1,18,2,24,3,33,0,17,1,746,313,630,420,461,39.6,61,4,383,1782
2,Athletic Club,325,20.4,2022-2023 Liga,167473,71668,12319,3779,5017,2881,202,580,129,337,38,65,3,19,1,36,5,33,1,17,1,573,225,500,331,375,47.4,37,1,279,1908
3,Atlético Madrid,387,17.5,2022-2023 Liga,223772,88661,15037,5270,6566,2505,276,554,150,469,63,54,3,49,8,37,6,34,4,11,1,506,162,320,304,371,56.3,44,0,282,1807
4,Barcelona,728,15.3,2022-2023 Liga,291975,107567,20582,9281,8124,2144,561,826,264,951,147,124,12,64,18,100,15,30,6,9,0,472,159,269,244,280,70.4,31,0,258,1921
5,Levante,479,17.1,2022-2023 Liga,225390,92602,15561,5639,6647,2508,344,567,175,576,92,80,11,54,9,47,10,37,6,14,4,589,233,395,343,323,60.4,34,0,291,1822
6,Levante Planas,301,21.5,2022-2023 Liga,139825,66079,10611,3297,4309,2495,193,289,93,257,21,85,2,29,2,34,6,54,5,16,1,579,211,411,308,358,44.1,64,2,361,1707
7,Madrid CFF,501,19.2,2022-2023 Liga,184363,80771,13827,5400,5365,2287,359,498,146,595,77,85,7,55,11,43,5,27,6,21,4,589,224,415,330,351,52.4,60,1,346,1946
8,Real Betis,288,20.2,2022-2023 Liga,143745,63925,11382,3890,4364,2353,200,423,119,294,25,67,5,33,7,26,2,27,4,15,0,586,283,517,295,359,46.3,51,2,307,1792
9,Real Madrid,460,17.3,2022-2023 Liga,247980,90907,16558,6102,7100,2593,335,596,177,595,99,58,6,40,9,48,11,26,3,20,5,572,212,388,323,358,61.2,35,0,283,1828
10,Real Sociedad,445,17.5,2022-2023 Liga,227307,87793,15864,5842,6880,2343,328,468,142,548,59,73,7,39,6,54,6,24,6,21,3,517,180,451,308,334,58.4,36,1,234,1873
11,Sevilla,361,17.3,2022-2023 Liga,148309,71576,11186,3806,4545,2204,249,484,116,385,49,85,7,25,7,34,1,52,7,19,1,608,252,505,356,343,45.2,46,6,292,1783
12,Sporting Huelva,228,20.1,2022-2023 Liga,98199,56110,9276,3092,3162,2410,149,356,84,234,26,42,4,15,4,15,2,26,5,10,0,589,263,533,380,424,37.2,45,3,343,1813
13,UDG Tenerife,354,19.9,2022-2023 Liga,142011,67198,10529,2889,4337,2798,223,481,136,359,35,67,4,38,7,27,4,45,7,18,1,559,208,405,353,359,44.8,55,3,310,1761
14,Valencia,339,19.3,2022-2023 Liga,153652,69132,12065,4433,4774,2041,232,443,114,362,40,65,4,38,5,40,8,39,2,8,0,521,229,421,331,305,48.8,43,0,249,1716
15,Villarreal,281,19.0,2022-2023 Liga,120901,60858,9981,3204,3686,2454,180,487,117,304,28,54,2,23,1,27,4,36,4,11,2,658,270,516,335,382,43.2,60,3,395,1699
16,Angel City,252,18.0,2022 NWSL,122044,52637,9559,3749,3781,1501,182,337,102,306,25,42,2,34,5,31,5,15,2,16,1,510,221,413,289,277,48.8,28,1,231,1451
17,Courage,300,15.7,2022 NWSL,162646,59692,11488,4214,5008,1735,214,492,115,382,62,36,4,32,4,29,9,18,3,8,2,434,200,376,286,239,55.0,22,0,210,1436
18,Current,253,17.5,2022 NWSL,114638,51686,8842,3177,3662,1544,175,335,111,309,38,45,3,22,3,18,2,33,5,13,1,436,154,305,263,234,48.1,25,1,227,1431
19,Dash,278,17.9,2022 NWSL,117369,47580,9083,3236,3605,1699,190,351,101,310,39,35,2,22,5,28,3,23,4,11,2,448,176,350,243,285,47.5,34,0,250,1463
20,Gotham FC,234,17.2,2022 NWSL,127878,52584,9676,3717,3924,1590,164,341,92,262,14,40,3,23,2,25,3,22,1,9,2,462,184,365,289,221,49.1,36,1,227,1355
21,Louisville,256,17.2,2022 NWSL,116017,49813,9195,3501,3576,1615,177,446,104,276,26,46,1,31,3,26,1,26,4,9,0,406,169,332,268,223,49.0,37,1,250,1420
22,Pride,214,17.8,2022 NWSL,126450,50928,9732,3999,3837,1344,159,342,90,271,25,35,1,21,2,14,3,18,2,9,1,384,185,325,250,255,48.2,35,0,243,1363
23,Red Stars,263,16.9,2022 NWSL,137898,55450,10451,4228,4171,1506,185,350,115,306,31,37,7,40,8,33,7,20,4,10,2,456,210,369,238,282,51.6,21,2,218,1437
24,Reign,332,16.6,2022 NWSL,135453,57296,10186,3921,4004,1702,242,453,85,442,33,40,5,21,5,30,5,20,4,15,1,482,229,415,295,271,49.4,35,1,200,1568
25,Spirit,295,17.3,2022 NWSL,141664,57429,10325,3788,4454,1549,204,380,111,343,32,52,3,31,1,37,4,13,6,6,0,402,179,355,240,254,52.6,35,0,229,1399
26,Thorns,399,17.9,2022 NWSL,146132,57651,10527,4173,4295,1585,284,369,119,492,55,38,4,49,5,51,8,21,6,19,0,402,178,329,234,257,51.3,24,0,186,1394
27,Wave,280,16.3,2022 NWSL,121875,55761,9337,3293,3722,1753,194,429,111,326,42,56,1,23,0,32,4,24,4,16,3,419,179,335,257,241,49.4,29,1,231,1400
28,Angel City,305,15.9,2023 NWSL,123133,54137,9769,3648,4071,1429,225,533,161,378,37,48,6,34,6,30,2,19,4,9,1,413,184,380,247,191,51.2,30,0,234,1499
29,Courage,248,17.0,2023 NWSL,176039,59416,12443,4901,5485,1496,189,314,95,318,39,28,0,33,5,31,2,15,2,9,1,388,146,314,253,213,59.6,23,2,207,1402
30,Current,251,17.0,2023 NWSL,127025,52179,9745,3874,3854,1495,186,332,97,313,38,40,3,27,5,27,2,22,3,13,1,351,155,357,280,224,49.3,27,0,207,1454
31,Dash,272,18.1,2023 NWSL,117374,47373,8901,3146,3545,1718,176,392,98,314,18,22,1,31,2,35,1,14,1,13,1,364,158,336,267,226,47.2,27,3,236,1375
32,Gotham FC,308,18.4,2023 NWSL,137937,54067,10487,3969,4336,1602,233,358,136,400,29,36,1,45,5,30,4,12,3,15,0,403,171,366,297,225,54.1,38,0,239,1531
33,Louisville,315,18.3,2023 NWSL,121556,52336,9305,3711,3674,1471,236,432,119,400,21,48,3,28,0,31,5,31,4,10,1,357,157,368,310,245,47.6,34,2,239,1504
34,Pride,287,17.0,2023 NWSL,119319,49294,9014,3504,3569,1422,208,391,122,309,30,45,3,37,5,31,4,20,4,18,0,453,204,420,280,199,46.4,25,1,233,1403
35,Red Stars,211,16.2,2023 NWSL,128092,53806,9727,3955,3868,1414,159,288,98,259,25,36,6,25,1,23,6,11,4,8,2,374,173,355,286,223,48.0,25,0,230,1368
36,Reign,259,17.7,2023 NWSL,136295,55311,10106,3682,4165,1726,195,411,85,322,36,43,1,19,0,26,6,23,3,8,1,399,182,398,273,254,48.5,32,1,229,1449
37,Spirit,276,17.1,2023 NWSL,110875,46724,8386,2777,3599,1560,178,373,92,296,21,49,6,38,2,36,3,28,4,15,2,399,175,386,288,235,46.6,31,2,259,1427
38,Thorns,375,17.3,2023 NWSL,144496,56552,10494,3983,4451,1565,288,365,120,482,43,43,4,48,12,43,4,11,4,12,1,440,197,412,319,211,51.5,20,1,161,1480
39,Wave,273,16.7,2023 NWSL,135483,56063,9857,3465,4227,1598,186,378,105,308,27,53,3,31,6,36,7,19,0,9,0,371,144,312,289,219,50.0,32,1,222,1338
40,Arsenal,385,16.2,2022-2023 WSL,184631,66769,12030,4122,5656,1793,295,375,156,461,46,55,8,30,3,47,9,24,6,13,1,306,111,233,234,232,57.5,17,0,163,1326
41,Aston Villa,268,17.1,2022-2023 WSL,152880,60024,10922,4251,4575,1603,202,425,115,333,55,42,4,19,6,21,3,19,3,10,1,365,125,231,294,272,52.5,28,0,185,1203
42,Brighton,236,18.5,2022-2023 WSL,107817,48205,8414,2926,3580,1494,160,239,69,281,28,20,2,20,2,26,5,17,3,21,2,414,139,274,281,281,42.8,25,1,182,1192
43,Chelsea,368,15.4,2022-2023 WSL,191912,69839,12582,4219,5924,1961,286,380,128,465,74,69,8,27,8,45,12,17,4,11,3,378,103,202,236,225,59.3,7,0,142,1311
44,Everton,242,16.8,2022-2023 WSL,159552,58493,11238,4217,5210,1438,172,267,100,293,35,45,3,12,4,27,2,18,2,12,1,344,80,200,248,258,52.9,16,1,179,1164
45,Leicester City,229,17.8,2022-2023 WSL,103770,45590,8072,2839,3354,1519,168,259,75,261,17,39,4,11,0,37,3,19,1,10,0,409,129,248,295,326,42.1,30,1,239,1218
46,Liverpool,232,17.7,2022-2023 WSL,114242,48178,8553,2858,3538,1787,144,307,82,244,30,32,1,16,3,26,5,12,1,15,1,425,124,270,273,274,43.5,29,0,177,1230
47,Manchester City,454,15.6,2022-2023 WSL,189947,71843,12748,4828,5779,1665,349,519,179,568,61,54,4,39,4,61,9,20,2,19,2,318,94,189,226,227,61.1,19,1,153,1257
48,Manchester Utd,352,15.7,2022-2023 WSL,186350,68111,12518,4556,5665,1741,259,406,116,422,66,53,8,29,6,44,8,27,4,14,3,339,121,235,270,227,62.1,20,1,173,1234
49,Reading,203,18.5,2022-2023 WSL,96842,45178,7665,2465,3093,1739,140,321,101,198,19,47,4,15,2,20,3,22,5,12,1,383,119,242,323,300,40.5,30,1,231,1171
50,Tottenham,202,18.1,2022-2023 WSL,126932,53021,9355,3593,3986,1403,155,239,71,243,36,28,5,12,1,21,4,11,2,17,0,428,122,270,295,312,45.2,30,1,219,1174
51,West Ham,170,17.0,2022-2023 WSL,98873,44517,8041,2762,3118,1694,112,282,67,193,20,26,2,10,1,20,3,15,0,8,1,380,114,253,314,297,40.4,28,1,239,1162
52,Arsenal,402,17.1,2021-2022 WSL,213608,75829,12550,3689,6149,2449,306,402,163,514,78,52,8,27,5,45,9,26,5,19,0,331,107,165,209,204,61.4,27,1,160,1100
53,Aston Villa,169,19.0,2021-2022 WSL,112092,46693,8560,2833,3333,2015,124,348,100,198,15,29,1,12,0,13,0,15,3,8,0,354,96,179,304,256,46.3,21,0,206,1018
54,Birmingham City,149,19.5,2021-2022 WSL,66363,34330,6199,1862,2358,1691,83,216,54,114,12,31,4,4,0,15,2,15,1,10,1,355,114,230,282,309,34.0,19,1,189,978
55,Brighton,197,19.4,2021-2022 WSL,119992,52471,9003,2955,3695,2004,132,367,85,225,21,32,5,5,2,15,4,18,3,9,1,339,61,125,285,247,46.7,24,0,176,1073
56,Chelsea,425,16.6,2021-2022 WSL,189048,70393,12115,3722,5705,2282,318,418,135,567,79,68,2,17,4,53,10,18,2,14,0,350,63,112,249,238,60.0,14,1,163,1125
57,Everton,227,18.8,2021-2022 WSL,147079,56912,10757,3818,4786,1800,161,290,85,261,16,36,3,13,1,22,2,14,1,17,2,330,81,164,274,264,51.4,17,0,190,1149
58,Leicester City,179,20.4,2021-2022 WSL,88374,41969,7148,2168,2981,1703,135,218,54,187,12,39,2,17,2,10,1,28,2,10,0,338,102,182,327,294,38.4,27,1,224,998
59,Manchester City,390,16.7,2021-2022 WSL,200211,69813,13068,4853,6073,1836,295,453,163,504,74,46,5,25,4,49,10,21,3,13,2,280,50,96,209,186,65.2,13,1,160,1093
60,Manchester Utd,344,17.9,2021-2022 WSL,157069,61615,10821,3718,4894,1834,264,365,135,464,57,50,6,18,2,39,6,11,4,10,1,326,76,146,277,239,57.0,20,0,200,1104
61,Reading,164,18.0,2021-2022 WSL,105371,46381,7884,2224,3376,1936,119,249,77,187,26,39,2,7,1,14,3,16,3,7,2,340,110,188,307,274,43.2,19,0,208,947
62,Tottenham,260,19.7,2021-2022 WSL,140431,59957,9950,3133,4645,1852,191,308,101,304,24,52,3,14,2,29,5,22,4,12,0,386,89,166,291,244,50.7,40,1,240,1168
63,West Ham,209,17.0,2021-2022 WSL,118831,52636,8750,2730,3745,1966,146,372,72,258,27,26,3,9,1,19,2,11,0,12,0,357,92,166,272,270,45.7,25,2,181,1185
0,ar Argentina,24,21.8,2023 WWC,14741,6386,1284,577,431,190,16,38,7,20,2,7,0,2,0,0,0,6,0,1,0,73,47,94,38,42,50.0,6,0,32,204
1,au Australia,97,16.9,2023 WWC,38125,16311,3123,1254,1163,509,59,146,46,109,10,15,2,11,1,14,0,4,2,3,1,122,66,127,77,48,49.9,5,0,54,447
2,br Brazil,61,17.5,2023 WWC,23036,8223,1719,653,777,214,41,76,22,85,6,3,0,6,0,6,2,8,0,0,0,62,20,43,49,23,63.3,1,0,20,247
3,ca Canada,43,17.2,2023 WWC,21262,7750,1622,659,671,213,33,66,15,49,1,10,0,5,0,5,0,5,0,4,0,70,24,52,45,42,62.0,4,0,17,220
4,cn China PR,22,21.6,2023 WWC,12812,5548,1217,540,389,174,11,41,11,22,1,3,0,1,0,2,1,3,1,3,0,64,35,61,40,28,41.3,0,1,24,217
5,co Colombia,62,20.3,2023 WWC,23138,10630,2007,861,638,371,43,68,23,66,3,11,1,7,3,10,3,5,0,1,0,133,71,131,76,51,48.2,7,0,50,378
6,cr Costa Rica,23,14.5,2023 WWC,13574,5200,1075,370,446,198,18,28,4,16,1,8,0,1,0,6,1,5,0,0,0,41,21,71,58,32,40.0,4,0,34,161
7,dk Denmark,40,17.8,2023 WWC,22768,8548,1899,726,788,258,26,70,15,41,3,7,1,3,0,2,0,2,0,2,0,90,47,102,62,41,50.5,3,0,41,286
8,eng England,95,15.2,2023 WWC,60988,22148,4321,1761,1740,591,70,142,39,106,15,25,2,6,0,15,2,4,1,1,1,152,64,133,104,67,62.0,6,1,70,471
9,fr France,93,16.8,2023 WWC,37374,14134,2808,1104,1061,458,66,166,40,98,13,22,1,5,0,13,4,6,0,3,0,130,65,110,84,53,63.8,4,0,67,406
10,de Germany,43,16.1,2023 WWC,27397,9276,1999,848,824,211,25,69,12,49,5,7,1,5,0,5,2,5,1,2,0,71,31,61,40,36,71.0,3,0,31,220
11,ht Haiti,23,17.5,2023 WWC,10998,5288,1008,321,419,191,16,43,14,19,0,5,0,2,0,2,0,2,0,1,0,70,33,65,29,26,37.7,2,0,17,191
12,it Italy,41,16.7,2023 WWC,18999,7901,1454,581,597,197,28,39,13,44,3,7,0,7,0,9,1,6,1,0,0,62,26,68,57,49,55.7,2,0,30,230
13,jm Jamaica,35,19.6,2023 WWC,13509,7048,1253,445,451,244,24,41,14,31,0,8,1,8,0,4,1,4,0,2,0,87,31,74,66,48,38.8,7,1,41,263
14,jp Japan,81,16.7,2023 WWC,37277,13738,2769,1069,1221,338,63,90,25,120,20,9,1,4,1,5,1,5,1,1,0,81,34,65,63,63,50.0,1,0,27,379
15,kr Korea Republic,26,18.3,2023 WWC,11531,5385,1044,434,355,185,16,50,11,24,2,6,0,3,0,2,0,6,0,1,0,87,38,81,45,36,44.0,2,0,34,208
16,ma Morocco,24,19.8,2023 WWC,11848,6362,1207,481,355,269,16,38,11,32,3,3,0,4,0,1,1,3,0,0,0,96,49,106,56,47,33.0,3,0,46,297
17,nl Netherlands,83,17.3,2023 WWC,38318,14158,2931,1290,987,474,65,67,21,109,14,13,2,7,1,11,3,1,0,0,0,132,54,115,85,60,58.0,3,0,66,416
18,nz New Zealand,39,17.5,2023 WWC,18807,7420,1548,604,557,283,22,75,20,43,2,10,0,2,0,6,0,5,0,0,0,77,35,60,45,24,55.7,1,0,20,246
19,ng Nigeria,53,16.7,2023 WWC,19009,8269,1442,444,616,312,32,72,16,48,0,14,0,8,0,13,2,3,0,2,0,98,49,96,68,34,39.0,3,1,49,263
20,no Norway,66,15.3,2023 WWC,27947,10483,2062,769,875,301,46,80,18,86,8,6,0,7,1,11,2,4,1,0,0,55,18,40,53,41,53.0,2,0,39,267
21,pa Panama,24,22.9,2023 WWC,9240,4537,888,363,296,175,12,32,8,22,1,6,0,2,0,0,0,6,3,2,0,77,38,103,39,32,36.0,3,0,28,194
22,ph Philippines,11,19.7,2023 WWC,8705,4303,861,290,303,192,7,19,3,11,1,1,0,1,1,0,0,4,0,1,0,46,22,57,35,40,29.3,3,1,20,173
23,pt Portugal,37,16.4,2023 WWC,16188,6940,1430,624,510,170,28,53,11,45,4,3,0,10,0,6,0,1,0,1,0,62,24,48,39,22,56.7,6,0,36,223
24,ie Rep. of Ireland,28,17.5,2023 WWC,15462,5949,1250,481,467,210,15,61,14,29,0,7,0,2,0,3,1,4,0,0,0,61,33,80,33,13,45.7,3,0,27,178
